capital = 10

oob = "POL_byzfire"

set_research_slots = 3

# Starting tech
set_technology = {
	infantry_weapons = 1
	infantry_weapons1 = 1
	tech_mountaineers = 1
	tech_support = 1		
	tech_engineers = 1
	tech_recon = 1
	tech_military_police = 1
	tech_maintenance_company = 1
	tech_logistics_company = 1
	support_weapons = 1
	motorised_infantry = 1
	gw_artillery = 1
	interwar_artillery = 1
	interwar_antiair = 1
	interwar_antitank = 1
	gwtank = 1
	basic_light_tank = 1
	improved_light_tank = 1
	basic_heavy_tank = 1
	early_fighter = 1
	early_bomber = 1
	tactical_bomber1 = 1
	strategic_bomber1 = 1
	fighter1 = 1
	CAS1 = 1
	early_destroyer = 1
	early_submarine = 1	
	mobile_warfare = 1
	basic_machine_tools = 1
}

# DIPLOMACY / WAR 36
	declare_war_on = {
		target = CZE
		type = annex_everything
	}

1939.1.1 = {
	
	if = {
		limit = {
			has_dlc = "Poland: United and Ready"
		}
		complete_national_focus = POL_central_region_strategy
		complete_national_focus = POL_the_four_year_plan
		complete_national_focus = POL_additional_research_slot1
		complete_national_focus = POL_prepare_for_the_next_war
		complete_national_focus = POL_standardisation_of_equipment
		complete_national_focus = POL_defensive_focus

		unlock_national_focus = POL_expansion_of_new_towns
		unlock_national_focus = POL_fill_the_railways_gaps
		unlock_national_focus = POL_start_central_industrial_region		
		unlock_national_focus = POL_national_defence_fund
		unlock_national_focus = POL_warsaw_main_railway_station
		unlock_national_focus = POL_invest_in_the_old_polish_region
		
		unlock_national_focus = POL_the_defence_of_poland
		unlock_national_focus = POL_romanian_bridgehead_strategy
		unlock_national_focus = POL_silesia_fortified_area
		unlock_national_focus = POL_hel_fortified_area
		unlock_national_focus = POL_modernising_the_cavalry
		unlock_national_focus = POL_strengthen_the_polish_state
		
		unlock_national_focus = POL_air_base_expansion
		unlock_national_focus = POL_develop_polish_ship_building
	}

	add_political_power = 1198
	
	#generic focuses
	complete_national_focus = army_effort
	complete_national_focus = equipment_effort
	complete_national_focus = motorization_effort
	complete_national_focus = aviation_effort
	complete_national_focus = naval_effort
	complete_national_focus = flexible_navy
	complete_national_focus = industrial_effort
	complete_national_focus = construction_effort
	complete_national_focus = production_effort

	add_ideas = {
		limited_conscription
		partial_economic_mobilisation
	}

	oob = "POL_1939"
	set_technology = {
		basic_light_tank = 1
		tactical_bomber1 = 1
		motorised_infantry = 1
		support_weapons = 1
		interwar_artillery = 1
		basic_submarine = 1
		basic_destroyer = 1

		#doctrines
		air_superiority = 1
		grand_battle_plan = 1
		trench_warfare = 1
		fleet_in_being = 1
		battlefleet_concentration = 1
		convoy_sailing = 1

		#electronics
		electronic_mechanical_engineering = 1
		radio = 1
		radio_detection = 1
		mechanical_computing = 1
		computing_machine = 1

		#industry
		basic_machine_tools = 1
		improved_machine_tools = 1
		advanced_machine_tools = 1
		synth_oil_experiments = 1
		oil_plant = 1
		improved_oil_plant = 1
		construction1 = 1
		construction2 = 1
		construction3 = 1
		construction4 = 1
		concentrated_industry = 1
		concentrated_industry2 = 1
		concentrated_industry3 = 1
		concentrated_industry4 = 1
	}
}


set_convoys = 100

set_politics = {

	parties = {
		democratic = { 
			popularity = 18
		}

		fascism = {
			popularity = 55
		}
		
		communism = {
			popularity = 2
		}
		
		neutrality = { 
			popularity = 20
		}
		
		pangalism = { 
			popularity = 5
		}
	}
	
	ruling_party = fascism
	last_election = "1935.9.8"
	election_frequency = 36
	elections_allowed = no
}

1939.1.1 = {
	set_politics = {

		parties = {
			democratic = { 
				popularity = 13
			}

			fascism = {
				popularity = 7
			}
			
			communism = {
				popularity = 2
			}
			
			neutrality = { 
				popularity = 78
			}
		}
		
		ruling_party = neutrality
		last_election = "1935.9.8"
		election_frequency = 36
		elections_allowed = no
	}
}

create_country_leader = {
	name = "Ludwyk Weyher"
	desc = "POLITICS_WLADYSLAW_SIKORSKI_DESC"
	picture = "pol_ludwyk_weyher.dds"
	expire = "1965.1.1"
	ideology = oligarchism
	traits = {
		#
	}
}

create_country_leader = {
	name = "Augustyn Landa"
	desc = "POLITICS_IGNACY_MOSCICKI_DESC"
	picture = "pol_augustyn_landa.dds"
	expire = "1965.1.1"
	ideology = cacicazgo
	traits = {
		#
	}
}

create_country_leader = {
	name = "Justyn Korda"
	desc = "POLITICS_WLADYSLAW_GOMULKA_DESC"
	picture = "pol_justyn_korda.dds"
	expire = "1965.1.1"
	ideology = leninism
	traits = {
		#
	}
}

create_country_leader = {
	name = "Bohater Wolinski"
	desc = "POLITICS_WINCENTY_WITOS_DESC"
	picture = "pol_bohater_wolinski.dds"
	expire = "1965.1.1"
	ideology = socialism
	traits = {
		#
	}
}

create_country_leader = {
	name = "Stanislaus II de Valois Vexin"
	desc = "POLITICS_BOLESLAW_PIASECKI_DESC"
	picture = "pol_stanislaus_ii_de_valois_vexin.dds"
	expire = "1965.1.1"
	ideology = rexism
	traits = {
		inexperienced_imperialist
	}
}

create_field_marshal = {
	name = "Ludwyk Weyher"
	picture = "pol_ludwyk_weyher.dds"
	traits = { offensive_doctrine logistics_wizard harsh_leader }
	skill = 5
	attack_skill = 5
	defense_skill = 3
	planning_skill = 2
	logistics_skill = 5
}

create_corps_commander = {
	name = "Sebastian Furck"
	picture = "pol_sebastian_furck.dds"
	traits = { panzer_leader trait_engineer }
	skill = 4
	attack_skill = 4
	defense_skill = 2
	planning_skill = 3
	logistics_skill = 4
}

create_corps_commander = {
	name = "Aleksander Karski"
	picture= "pol_aleksander_karski.dds"
	traits = {  trait_mountaineer }
	skill = 3
	attack_skill = 3
	defense_skill = 3
	planning_skill = 2
	logistics_skill = 2
}

create_corps_commander= {
	name = "Czcibor Umiastowski"
	picture = "pol_czcibor_umiastowski.dds"
	traits = { urban_assault_specialist }
	skill = 2
	attack_skill = 2
	defense_skill = 1
	planning_skill = 2
	logistics_skill = 2
}
